输出字段名,来源表名,来源字段名,是否可追踪
CUST_CODE,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
CUST_CODE,LC00059999.CORP_LOAN_DUE_BILL,CUST_CODE,是
CUST_CODE,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,CUST_CODE,是
CUST_CODE,LC00059999.JSPZFL,CUST_CODE,是
CUST_ID,LC00059999.CUST_CORP_INFO,CUST_ID,是
CUST_ID,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
CUST_NAME,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
F_WBMC,LC00059999.LSWBZD,F_WBMC,是
F_WBMC,,,是
JSZHZD_WBBH,LC00059999.JSZHZD,JSZHZD_WBBH,是
所属二级单位,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
所属二级单位,DW_CUST_CORP_LE_F_BK,INTERFACE_TIME,是
所属二级单位,DW_CUST_CORP_LE_F_BK,RN1,是
客户类型,LC00059999.CUST_CORP_INFO,CUST_KIND,是
客户类型,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
自营短期,LC00059999.CORP_LOAN_DUE_BILL,LOAN_BAL,是
自营短期,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
自营中长期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,LOAN_BAL,是
自营中长期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,DUE_BILL_ID,是
保理短期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,LOAN_BAL,是
保理短期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,INT_PERIOD,是
保理短期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,DUE_BILL_ID,是
保理短期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,INT_AMT,是
保理短期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,DUE_BILL_ID,是
保理短期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,CALC_END_DATE,是
保理中长期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,LOAN_BAL,是
保理中长期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,INT_PERIOD,是
保理中长期,LC00019999.DWD_CORP_LOAN_DUE_BILL_HIS,DUE_BILL_ID,是
保理中长期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,INT_AMT,是
保理中长期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,DUE_BILL_ID,是
保理中长期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,CALC_END_DATE,是
委贷,LC00059999.CORP_LOAN_DUE_BILL,LOAN_BAL,是
委贷,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
自营短期利息收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
自营短期利息收入,LC00059999.JSPZFL,JSPZFL_JE,是
自营中长期利息收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
自营中长期利息收入,LC00059999.JSPZFL,JSPZFL_JE,是
委托贷款利息收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
委托贷款利息收入,LC00059999.JSPZFL,JSPZFL_JE,是
委托贷款利息支出,LC00059999.JSPZFL,JSPZFL_JZFX,是
委托贷款利息支出,LC00059999.JSPZFL,JSPZFL_JE,是
融资租赁余额,LC00019999.DWD_FNLS_PAYMENTPLAN_HIS,PAB_PRINCIPAL,是
融资租赁余额,LC00019999.DWD_FNLS_PAYMENTPLAN_HIS,REAL_PRINCIPAL,是
保理利息收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
保理利息收入,LC00059999.JSPZFL,JSPZFL_JE,是
租赁利息收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
租赁利息收入,LC00059999.JSPZFL,JSPZFL_JE,是
受托贷款手续费收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
受托贷款手续费收入,LC00059999.JSPZFL,JSPZFL_JE,是
票据承兑手续费收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
票据承兑手续费收入,LC00059999.JSPZFL,JSPZFL_JE,是
保函手续费收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
保函手续费收入,LC00059999.JSPZFL,JSPZFL_JE,是
保险代理手续费收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
保险代理手续费收入,LC00059999.JSPZFL,JSPZFL_JE,是
应收利息,LC00059999.JSPZFL,JSPZFL_JZFX,是
应收利息,LC00059999.JSPZFL,JSPZFL_JE,是
