输出字段名,来源表名,来源字段名,是否可追踪
CUST_CODE,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
CUST_NAME,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
CUST_ID,LC00059999.CUST_CORP_INFO,CUST_ID,是
CUST_ID,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
JSPZFL_BZ,,,是
JSPZFL_BZ,LC00059999.JSPZFL,JSPZFL_BZ,是
贴现金额,F_PJTX_PJTXMRYEB,BAL,是
贴现利息收入,LC00059999.JSPZFL,JSPZFL_JZFX,是
贴现利息收入,LC00059999.JSPZFL,JSPZFL_JE,是
承兑余额,LC00059999.PJYFKC,PJYFKC_PMJE,是
CUST_STAT,DW_CUST_CORP_LE_F_BK,CUST_STAT,是
CUST_KIND,LC00059999.CUST_CORP_INFO,CUST_KIND,是
CUST_KIND,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
YJDW,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
YJDW,DW_CUST_CORP_LE_F_BK,INTERFACE_TIME,是
YJDW,DW_CUST_CORP_LE_F_BK,RN1,是
JSPZFL_DWBH,LC00059999.JSPZFL,JSPZFL_DWBH,是
BAL,LC00059999.JSPZFL,JSPZFL_JZFX,是
BAL,LC00059999.JSPZFL,JSPZFL_JE,是
BAL,F_PJTX_PJTXMRYEB,BAL,是
BAL,LC00059999.PJYFKC,PJYFKC_PMJE,是
申请人编号,F_PJTX_PJTXMRYEB,SQR,是
PJYFKC_KPDW,LC00059999.PJYFKC,PJYFKC_KPDW,是
B_RN1,LC00059999.PJKPZB,RN1,是
B_CUST_CODE,LC00059999.PJKPZB,CUST_CODE,是
B_CUST_NAME,LC00059999.PJKPZB,CUST_NAME,是
B_CUST_SHORT_NAME,LC00059999.PJKPZB,CUST_SHORT_NAME,是
B_GQLX,LC00059999.PJKPZB,GQLX,是
B_CUST_SCOPE,LC00059999.PJKPZB,CUST_SCOPE,是
B_CUST_TYPE,LC00059999.PJKPZB,CUST_TYPE,是
B_JMFL,LC00059999.PJKPZB,JMFL,是
B_LE,LC00059999.PJKPZB,LE,是
B_N_LE,LC00059999.PJKPZB,N_LE,是
B_LEN1,LC00059999.PJKPZB,LEN1,是
B_MX,LC00059999.PJKPZB,MX,是
B_INTERFACE_TIME,LC00059999.PJKPZB,INTERFACE_TIME,是
B_LAST_UPD_DATE,LC00059999.PJKPZB,LAST_UPD_DATE,是
B_CUST_STAT,LC00059999.PJKPZB,CUST_STAT,是
L_JSPZFL_PZNM,LC00059999.JSPZFL,JSPZFL_PZNM,是
L_JSPZFL_FLNM,LC00059999.JSPZFL,JSPZFL_FLNM,是
L_JSPZFL_JGBH,LC00059999.JSPZFL,JSPZFL_JGBH,是
L_JSPZFL_FLBH,LC00059999.JSPZFL,JSPZFL_FLBH,是
L_JSPZFL_KMBH,LC00059999.JSPZFL,JSPZFL_KMBH,是
L_JSPZFL_ZHBH,LC00059999.JSPZFL,JSPZFL_ZHBH,是
L_JSPZFL_JSFS,LC00059999.JSPZFL,JSPZFL_JSFS,是
L_JSPZFL_ZY,LC00059999.JSPZFL,JSPZFL_ZY,是
L_JSPZFL_JE,LC00059999.JSPZFL,JSPZFL_JE,是
L_JSPZFL_BZ,LC00059999.JSPZFL,JSPZFL_BZ,是
L_JSPZFL_JZFX,LC00059999.JSPZFL,JSPZFL_JZFX,是
L_JSPZFL_ZCF,LC00059999.JSPZFL,JSPZFL_ZCF,是
L_JSPZFL_YSXM,LC00059999.JSPZFL,JSPZFL_YSXM,是
L_JSPZFL_SFZJPZ,LC00059999.JSPZFL,JSPZFL_SFZJPZ,是
L_JSPZFL_BAL,LC00059999.JSPZFL,JSPZFL_BAL,是
L_JSPZFL_OPP_NAME,LC00059999.JSPZFL,JSPZFL_OPP_NAME,是
L_JSPZFL_OPP_OPEN_BANK,LC00059999.JSPZFL,JSPZFL_OPP_OPEN_BANK,是
L_JSPZFL_OPP_ACTNO,LC00059999.JSPZFL,JSPZFL_OPP_ACTNO,是
L_JSPZFL_BBJE,LC00059999.JSPZFL,JSPZFL_BBJE,是
L_JSPZFL_HL,LC00059999.JSPZFL,JSPZFL_HL,是
L_JSPZFL_ZHMC,LC00059999.JSPZFL,JSPZFL_ZHMC,是
L_JSPZFL_DWBH,LC00059999.JSPZFL,JSPZFL_DWBH,是
L_JSPZFL_FLRQ,LC00059999.JSPZFL,JSPZFL_FLRQ,是
L_JSPZFL_SFKP,LC00059999.JSPZFL,JSPZFL_SFKP,是
L_JSPZFL_BY0,LC00059999.JSPZFL,JSPZFL_BY0,是
L_JSPZFL_BY1,LC00059999.JSPZFL,JSPZFL_BY1,是
L_JSPZFL_BY2,LC00059999.JSPZFL,JSPZFL_BY2,是
L_JSPZFL_BY3,LC00059999.JSPZFL,JSPZFL_BY3,是
L_JSPZFL_BY4,LC00059999.JSPZFL,JSPZFL_BY4,是
L_JSPZFL_BY5,LC00059999.JSPZFL,JSPZFL_BY5,是
L_JSPZFL_BY6,LC00059999.JSPZFL,JSPZFL_BY6,是
L_JSPZFL_BY7,LC00059999.JSPZFL,JSPZFL_BY7,是
L_JSPZFL_BY8,LC00059999.JSPZFL,JSPZFL_BY8,是
L_JSPZFL_FUNDSPOOL_BAL,LC00059999.JSPZFL,JSPZFL_FUNDSPOOL_BAL,是
K_JSPZK_PZNM,LC00059999.JSPZK,JSPZK_PZNM,是
K_JSPZK_JGBH,LC00059999.JSPZK,JSPZK_JGBH,是
K_JSPZK_DWBH,LC00059999.JSPZK,JSPZK_DWBH,是
K_JSPZK_DJBH,LC00059999.JSPZK,JSPZK_DJBH,是
