输出字段名,来源表名,来源字段名,是否可追踪
客户编号,LC00059999.ST_PROTOCOL,CUST_CODE,是
证实书内码,LC00059999.ST_PROTOCOL,PROTOCOL_ID,是
证实书编号,LC00059999.ST_PROTOCOL,PROTOCOL_CODE,是
存款类型,LC00059999.ST_PROTOCOL,DEPOSIT_PRODUCT_TYPE,是
存款类型,LC00059999.ST_PROTOCOL,DEPOSIT_CODE,是
存款类型,LC00059999.ST_PROTOCOL,ROWNUM,是
存入日期,LC00059999.ST_PROTOCOL,START_ACCUAL_DATE,是
到期日期,LC00059999.ST_PROTOCOL,EXPIRE_DATE,是
证实书利率,LC00059999.ST_PROTOCOL,RATE,是
支取日期,LC00059999.ST_DEPOSIT_DRAW,DRAW_DATE,是
支取金额,LC00059999.ST_DEPOSIT_DRAW,DRAW_AMT,是
支取方式,LC00059999.ST_DEPOSIT_DRAW,PROTO_TYPE,是
支取方式,LC00059999.ST_DEPOSIT_DRAW,BUSINESS_TYPE,是
支取方式,LC00059999.ST_DEPOSIT_DRAW,IS_FORE,是
交易流水号,LC00059999.ST_DEPOSIT_DRAW,DEPOSIT_DRAW_ID,是
交易流水号,LC00059999.ST_DEPOSIT_DRAW_RECORD,MAIN_TRAC_ID,是
币种编号,LC00059999.LSWBZD,F_WBBH,是
币种,LC00059999.LSWBZD,F_WBMC,是
