输出字段名,来源表名,来源字段名,是否可追踪
客户编号,LC00059999.ST_PROTOCOL,CUST_CODE,是
证实书内码,LC00059999.ST_PROTOCOL,PROTOCOL_ID,是
证实书编号,LC00059999.ST_PROTOCOL,PROTOCOL_CODE,是
存款类型,LC00059999.ST_PROTOCOL,DEPOSIT_PRODUCT_TYPE,是
存款类型,LC00059999.ST_PROTOCOL,DEPOSIT_CODE,是
存款类型,LC00059999.ST_PROTOCOL,ROWNUM,是
存入日期,LC00059999.ST_PROTOCOL,START_ACCUAL_DATE,是
FLAG,LC00059999.ST_PROTOCOL,TRAN_DEPOSIT_TYPE,是
到期日期,LC00059999.ST_PROTOCOL,EXPIRE_DATE,是
证实书利率,LC00059999.ST_PROTOCOL,RATE,是
存入金额,LC00059999.ST_PROTOCOL,AMOUNT,是
币种编号,LC00059999.LSWBZD,F_WBBH,是
币种,LC00059999.LSWBZD,F_WBMC,是
PRODUCT_NAME,LC00059999.PRD_PROD_FACTORY,PRODUCT_NAME,是
ST_PROTOCOL_ID,LC00059999.ST_PROTOCOL,PROTOCOL_ID,是
ST_APPLY_ID,LC00059999.ST_PROTOCOL,APPLY_ID,是
ST_PROTOCOL_CODE,LC00059999.ST_PROTOCOL,PROTOCOL_CODE,是
ST_PROTOCOL_TYPE,LC00059999.ST_PROTOCOL,PROTOCOL_TYPE,是
ST_ORG_ID,LC00059999.ST_PROTOCOL,ORG_ID,是
ST_CURRENCY,LC00059999.ST_PROTOCOL,CURRENCY,是
ST_CUST_CODE,LC00059999.ST_PROTOCOL,CUST_CODE,是
ST_START_DATE,LC00059999.ST_PROTOCOL,START_DATE,是
ST_START_ACCUAL_DATE,LC00059999.ST_PROTOCOL,START_ACCUAL_DATE,是
ST_EXPIRE_DATE,LC00059999.ST_PROTOCOL,EXPIRE_DATE,是
ST_APPLY_AMT,LC00059999.ST_PROTOCOL,APPLY_AMT,是
ST_AMOUNT,LC00059999.ST_PROTOCOL,AMOUNT,是
ST_DEPOSIT_CODE,LC00059999.ST_PROTOCOL,DEPOSIT_CODE,是
ST_FLOAT_STYLE,LC00059999.ST_PROTOCOL,FLOAT_STYLE,是
ST_FLOAT_RATIO,LC00059999.ST_PROTOCOL,FLOAT_RATIO,是
ST_RATE,LC00059999.ST_PROTOCOL,RATE,是
ST_OVERDRAFT_TYPE,LC00059999.ST_PROTOCOL,OVERDRAFT_TYPE,是
ST_OVERDRAFT_RATE,LC00059999.ST_PROTOCOL,OVERDRAFT_RATE,是
ST_DRAW_MONEY,LC00059999.ST_PROTOCOL,DRAW_MONEY,是
ST_ALLOCATED_MONEY,LC00059999.ST_PROTOCOL,ALLOCATED_MONEY,是
ST_SETTLEMENT_ACC_CODE,LC00059999.ST_PROTOCOL,SETTLEMENT_ACC_CODE,是
ST_PROTOCOL_ACC_CODE,LC00059999.ST_PROTOCOL,PROTOCOL_ACC_CODE,是
