输出字段名,来源表名,来源字段名,是否可追踪
交易日期,LC00059999.JSPZK,JSPZK_PZRQ,是
主交易流水,LC00059999.TRAN_FLOW,MAIN_TRAC_ID,是
交易流水,LC00059999.JSPZK,JSPZK_DJBH,是
JSPZFL_PZNM,LC00059999.JSPZFL,JSPZFL_PZNM,是
JSPZFL_FLNM,LC00059999.JSPZFL,JSPZFL_FLNM,是
JSPZFL_FLBH,LC00059999.JSPZFL,JSPZFL_FLBH,是
JSPZFL_KMBH,LC00059999.JSPZFL,JSPZFL_KMBH,是
JSPZFL_ZHBH,LC00059999.JSPZFL,JSPZFL_ZHBH,是
JSPZFL_ZY,LC00059999.JSPZFL,JSPZFL_ZY,是
JSPZFL_JE,LC00059999.JSPZFL,JSPZFL_JE,是
币种编号,LC00059999.LSWBZD,F_WBBH,是
币种,LC00059999.LSWBZD,F_WBMC,是
借贷方向,LC00059999.JSPZFL,JSPZFL_JZFX,是
