输出字段名,来源表名,来源字段名,是否可追踪
币种,LC00059999.LSWBZD,F_WBMC,是
单位编号,LC00019999.DWD_JSZHZD_HIS,JSZHZD_DWBH,是
单位名称,LC00019999.DW_CUST_CORP_LE_F_BK,CUST_NAME,是
账户,LC00059999.JSZHYEB,JSZHYEB_BH,是
日期,LC00059999.JSZHYEB,JSZHYEB_RQ,是
余额,LC00059999.JSZHYEB,JSZHYEB_INT_AMT,是
协定余额,LC00059999.ST_PROTOCOL,AMOUNT,是
协定余额,LC00059999.ST_PROTOCOL,START_DATE,是
协定余额,LC00059999.JSZHYEB,JSZHYEB_RQ,是
协定余额,LC00059999.JSZHYEB,JSZHYEB_INT_AMT,是
活期余额,LC00059999.JSZHYEB,JSZHYEB_INT_AMT,是
活期余额,LC00059999.ST_PROTOCOL,AMOUNT,是
活期余额,LC00059999.ST_PROTOCOL,START_DATE,是
活期余额,LC00059999.JSZHYEB,JSZHYEB_RQ,是
协定利率,LC00059999.ST_PROTOCOL,RATE,是
活期利率,LC00059999.ST_INTEREST_RATE_CHANGE,EXCUTE_RATE,是
协定日期,LC00059999.ST_PROTOCOL,START_ACCUAL_DATE,是
协议号,LC00059999.ST_PROTOCOL,PROTOCOL_ID,是
