输出字段名,来源表名,来源字段名,是否可追踪
账户编号,F_ZJ_HQXDCKYWTZ,JSZHYEB_BH,是
账户名称,F_ZJ_HQXDCKYWTZ,JSZHZD_MC,是
余额日期,F_ZJ_HQXDCKYWTZ,JSZHYEB_RQ,是
客户编号,F_ZJ_HQXDCKYWTZ,CUST_CODE,是
客户名称,F_ZJ_HQXDCKYWTZ,CUST_NAME,是
所属二级单位,F_ZJ_HQXDCKYWTZ,YJDW,是
借方发生额,F_ZJ_HQXDCKYWTZ,JFFSE,是
贷方发生额,F_ZJ_HQXDCKYWTZ,DFFSE,是
期末余额,F_ZJ_HQXDCKYWTZ,QMYE,是
期末余额,F_ZJ_HQXDCKYWTZ,KMBH,是
期末余额,F_ZJ_HQXDCKYWTZ,JSZHYEB_BH,是
是否协定账户,F_ZJ_HQXDCKYWTZ,SFXDZH,是
协定余额,F_ZJ_HQXDCKYWTZ,XDYE,是
协定余额,F_ZJ_HQXDCKYWTZ,KMBH,是
协定余额,F_ZJ_HQXDCKYWTZ,JSZHYEB_BH,是
协定余额日均规模,F_ZJ_HQXDCKYWTZ,XDYE,是
活期余额,F_ZJ_HQXDCKYWTZ,HQYE,是
活期余额,F_ZJ_HQXDCKYWTZ,KMBH,是
活期余额,F_ZJ_HQXDCKYWTZ,JSZHYEB_BH,是
活期余额日均规模,F_ZJ_HQXDCKYWTZ,HQYE,是
科目编号,F_ZJ_HQXDCKYWTZ,KMBH,是
科目名称,F_ZJ_HQXDCKYWTZ,KMMC,是
