输出字段名,来源表名,来源字段名,是否可追踪
票据类型,LC00059999.BL_TOSIGN_RECORD,BILL_TYPE,是
合同编号,LC00059999.BL_DISCOUNT_APP,CONT_CODE,是
业务类型,LC00059999.BL_DISCOUNT_APP,DISC_TYPE,是
票据号码,LC00059999.BL_TOSIGN_RECORD,BILL_CODE,是
票据子号码,LC00059999.BL_TOSIGN_RECORD,BILL_CODE,是
出票人,LC00059999.BL_TOSIGN_RECORD,DRAW_NAME,是
出票人,LC00059999.BL_TOSIGN_RECORD,BILL_CODE,是
票据开始日,LC00059999.BL_TOSIGN_RECORD,START_DATE,是
贴现人名称,LC00059999.BL_DISCOUNT_APP,CUST_CODE,是
贴现人名称,LC00059999.BL_TOSIGN_RECORD,START_DATE,是
贴现人名称,LC00059999.BL_TOSIGN_RECORD,END_DATE,是
贴现人二级单位,LC00059999.BL_TOSIGN_RECORD,FORE_ENDORSE_NAME,是
贴现人上一手,LC00059999.BL_STOCKBILL_HIS,FORE_ENDORSEE_NAME,是
贴现人上一手,LC00059999.BL_STOCKBILL_HIS,DRAW_NAME,是
贴现人上一手,LC00059999.BL_TOSIGN_RECORD,BILL_CODE,是
承兑人,LC00059999.BL_STOCKBILL_HIS,ACEPTOR_BANK_NAME,是
付息方式,LC00059999.BL_DISCOUNT_APP,PAY_INST_TYPE,是
票面金额,LC00059999.BL_TOSIGN_RECORD,BILL_AMT,是
贴现日,LC00059999.BL_TOSIGN_RECORD,DISC_DATE,是
票据到期日,LC00059999.BL_TOSIGN_RECORD,END_DATE,是
贴现天数,LC00059999.BL_TOSIGN_RECORD,INST_DAYS,是
贴现利率,LC00059999.BL_TOSIGN_RECORD,DISC_RATE,是
贴现利息,LC00059999.BL_TOSIGN_RECORD,DISC_OUT_INST_AMT,是
贴现利息,LC00059999.BL_TOSIGN_RECORD,BILL_AMT,是
贴现利息,LC00059999.BL_TOSIGN_RECORD,DISC_PAY_AMT,是
贴现利息,LC00059999.BL_TOSIGN_RECORD,CLEAR_TYPE,是
实付金额,LC00059999.BL_TOSIGN_RECORD,DISC_PAY_AMT,是
实付金额,LC00059999.BL_TOSIGN_RECORD,DISC_OUT_PAY_AMT,是
实付金额,LC00059999.BL_TOSIGN_RECORD,CLEAR_TYPE,是
日均规模,LC00059999.BL_TOSIGN_RECORD,BAL,是
日均规模,LC00059999.BL_TOSIGN_RECORD,RQ,是
日均规模,LC00059999.BL_TOSIGN_RECORD,BILL_AMT,是
日均规模,LC00059999.BL_TOSIGN_RECORD,BILL_CODE,是
PJYFKC_CPRQC,LC00059999.PJYFKC,PJYFKC_CPRQC,是
CUST_NAME,CP,CUST_NAME,否
BT_TOSIGN_NM,LC00059999.BL_TOSIGN_RECORD,TOSIGN_NM,是
BT_BANKNO,LC00059999.BL_TOSIGN_RECORD,BANKNO,是
BT_BRANCH_CODE,LC00059999.BL_TOSIGN_RECORD,BRANCH_CODE,是
BT_BILL_CLASS,LC00059999.BL_TOSIGN_RECORD,BILL_CLASS,是
BT_BZNS_TYPE,LC00059999.BL_TOSIGN_RECORD,BZNS_TYPE,是
BT_BANK_LSH,LC00059999.BL_TOSIGN_RECORD,BANK_LSH,是
BT_REFERENCE_NM,LC00059999.BL_TOSIGN_RECORD,REFERENCE_NM,是
BT_COLLECT_TYPE,LC00059999.BL_TOSIGN_RECORD,COLLECT_TYPE,是
BT_REGISTER_DATE,LC00059999.BL_TOSIGN_RECORD,REGISTER_DATE,是
