输出字段名,来源表名,来源字段名,是否可追踪
客户编号,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
借款单位名称,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
二级单位,LC00059999.FNLS_CONT,CUST_NAME,是
二级单位,LC00059999.FNLS_CONT,RN1,是
二级单位,LC00059999.FNLS_CONT,INTERFACE_TIME,是
二级单位,DW_CUST_CORP_LE_F_BK,RN1,是
二级单位,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
对应成员单位,,,是
贷款合同号,LC00059999.FNLS_CONT,CONT_CODE,是
业务大类,,,是
业务子类型,,,是
执行利率,LC00059999.FNLS_REGIST,INTRATE,是
担保方式,LC00059999.FNLS_CONT,GART_MODE,是
借据编号,LC00059999.FNLS_REGIST,RENT_NUM,是
放款金额,LC00059999.FNLS_REGIST,FINANCING_AMT,是
GRANT_DATE,LC00059999.FNLS_REGIST,RENT_START_DATE,是
到期日期,LC00059999.FNLS_REGIST,RENT_ACTUAL_END_DATE,是
期限,LC00059999.FNLS_REGIST,LEASE_TERM,是
五级分类,LC00059999.FNLS_CONT,CLASS5STAT,是
信用评级,LC00059999.CUST_CORP_INFO,GRADE_RESULT,是
信用评级,LC00059999.FNLS_CONT,CUST_CODE,是
信用评级,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
放款日期,LC00059999.FNLS_REGIST,RENT_START_DATE,是
放款,LC00059999.FNLS_REGIST,FINANCING_AMT,是
还款日期,LC00059999.FNLS_STDBOOK,BZNS_DATE,是
还款,LC00059999.FNLS_STDBOOK,BZNS_AMT,是
备注,LC00059999.FNLS_REGIST,REMARK,是
期末余额,F_RZZL_RZZLYEB,RZYE,是
日均规模,F_RZZL_RZZLYEB,RZYE,是
