输出字段名,来源表名,来源字段名,是否可追踪
老客户编号,LC00059999.CORP_LOAN_DUE_BILL,CUST_CODE,是
新客户编号,LC00059999.CUST_CORP_INFO,CUST_ID,是
新客户编号,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
客户名称,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
合同号,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,CONT_CODE,是
借据号,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_CODE,是
合同金额,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,TOTAMT,是
已放款金额,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,GRANT_AMT,是
贷款产品类型,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,CUST_LOAN_KIND,是
签订日期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,SIGN_DATE,是
签订日期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,START_DATE,是
发放日期,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
到期日期,LC00059999.CORP_LOAN_DUE_BILL,END_DATE,是
实际到期日,LC00059999.CORP_LOAN_DUE_BILL,FACT_END_DATE,是
利率,LC00059999.CORP_LOAN_INTEREST_RATE,INTEREST_RATE,是
利率,LC00059999.CORP_LOAN_DUE_BILL,INTRATE,是
担保客户,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
借据期初余额,LC00059999.CORP_LOAN_DUE_BILL,LOAN_BAL,是
借据期初余额,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,PRCP_BAL,是
借据期初余额,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
借据期初余额,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
本期放款金额,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
本期转逾期金额,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
本期还款金额,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,PRCP_BAL,是
本期还款金额,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
借据期末余额,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,PRCP_BAL,是
借据期末余额,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
借据期末余额,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
借据期末余额,LC00059999.CORP_LOAN_DUE_BILL,LOAN_BAL,是
期限,LC00059999.CORP_LOAN_DUE_BILL,TERM_KIND,是
账面实提利息含税,LC00059999.CORP_LOAN_DUE_INT,RCVSUM,是
账面实提利息不含税,LC00059999.CORP_LOAN_DUE_INT,RCVSUM,是
合同到期状态,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,TRM_CLASS,是
担保方式,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,GART_MODE,是
