输出字段名,来源表名,来源字段名,是否可追踪
老客户编号,LC00059999.CORP_LOAN_DUE_BILL,CUST_CODE,是
新客户编号,LC00059999.CUST_CORP_INFO,CUST_ID,是
新客户编号,DW_CUST_CORP_LE_F_BK,CUST_CODE,是
客户名称,DW_CUST_CORP_LE_F_BK,CUST_NAME,是
借据号,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_CODE,是
合同号,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,CONT_CODE,是
合同金额,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,TOTAMT,是
签订日期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,SIGN_DATE,是
签订日期,LC00019999.DWD_CORP_LOAN_CONT_BASE_HIS,START_DATE,是
发放日期,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
到期日期,LC00059999.CORP_LOAN_DUE_BILL,END_DATE,是
到期日期,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_KIND,是
实际到期日,LC00059999.CORP_LOAN_DUE_BILL,FACT_END_DATE,是
实际到期日,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_KIND,是
借据金额,LC00059999.CORP_LOAN_DUE_BILL,LOAN_AMT,是
BZNS_DATE,LC00059999.CORP_LOAN_STDBOOK,BZNS_DATE,是
类型,LC00059999.CORP_LOAN_STDBOOK,BZNS_TYPE,是
BZNS_AMT,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
