输出字段名,来源表名,来源字段名,是否可追踪
EJDW,LC00019999.DWD_CUST_CORP_INFO_HIS,YJDW,是
CUST_CODE,LC00059999.CUST_CORP_INFO,CUST_CODE,是
CUST_NAME,LC00059999.CUST_CORP_INFO,CUST_NAME,是
CONT_CODE,LC00059999.CORP_LOAN_CONT_BASE,CONT_CODE,是
CONT_CODE,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_SUBTYPE,是
CONT_CODE,LC00059999.PJYFKC,PJYFKC_PJBH,是
CONT_CODE,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_CODE,是
CONT_CODE,LC00059999.CORP_LOAN_CONT_BASE,PRE_BSNS_CODE,是
EXT_CONT_NO,LC00059999.CORP_LOAN_EXTEND_TERM,EXT_CONT_NO,是
CUST_LOAN_SUBTYPE,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_SUBTYPE,是
TOTAMT,LC00059999.CORP_LOAN_CONT_BASE,TOTAMT,是
TOTAMT,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_SUBTYPE,是
TOTAMT,DW_XD_CORP_LOAN_STDBOOK,PJYFKC_PMJE,是
TOTAMT,LC00059999.CORP_LOAN_CONT_BASE,PRE_BSNS_CODE,是
CURCD,LC00059999.CORP_LOAN_DUE_BILL,CURCD,是
DUE_BILL_CODE,LC00059999.PJYFKC,PJYFKC_PJBH,是
DUE_BILL_CODE,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_CODE,是
DUE_BILL_ID,DW_XD_CORP_LOAN_STDBOOK,DUE_BILL_ID,是
JJJE,LC00059999.CORP_LOAN_DUE_BILL,LOAN_AMT,是
JJJE,DW_XD_CORP_LOAN_STDBOOK,PJYFKC_PMJE,是
JJJE,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_SUBTYPE,是
FFJE,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
FFJE,LC00059999.CORP_LOAN_DUE_BILL,LOAN_AMT,是
GRANT_DATE,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
INTRATE,LC00059999.CORP_LOAN_DUE_BILL,INTRATE,是
ZQJE,LC00059999.CORP_LOAN_EXTEND_TERM,OLD_CONT_END_DATE,是
ZQJE,LC00059999.CORP_LOAN_EXTEND_TERM,LOAN_BAL,是
ZQJE,LC00059999.CORP_LOAN_EXTEND_TERM,LOAN_AMT,是
OLD_CONT_END_DATE,LC00059999.CORP_LOAN_EXTEND_TERM,OLD_CONT_END_DATE,是
EXT_RATE,LC00059999.CORP_LOAN_EXTEND_TERM,EXT_RATE,是
HKJE,DW_XD_CORP_LOAN_STDBOOK,BZNS_TYPE,是
HKJE,DW_XD_CORP_LOAN_STDBOOK,BZNS_AMT,是
HKRQ,DW_XD_CORP_LOAN_STDBOOK,BZNS_TYPE,是
HKRQ,DW_XD_CORP_LOAN_STDBOOK,BZNS_DATE,是
FACT_END_DATE,LC00059999.CORP_LOAN_DUE_BILL,FACT_END_DATE,是
DQRQ,LC00059999.CORP_LOAN_EXTEND_TERM,NEW_CONT_END_DATE,是
DQRQ,LC00059999.CORP_LOAN_EXTEND_TERM,EXT_CONT_NO,是
DQRQ,LC00059999.CORP_LOAN_DUE_BILL,FACT_END_DATE,是
DQRQ,LC00059999.PJYFKC,PJYFKC_DQRQ,是
DQRQ,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_SUBTYPE,是
LOAN_BAL,LC00059999.CORP_LOAN_DUE_BILL,LOAN_BAL,是
LOAN_BAL,DW_XD_CORP_LOAN_STDBOOK,BZNS_TYPE,是
LOAN_BAL,DW_XD_CORP_LOAN_STDBOOK,BZNS_AMT,是
LOAN_BAL,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
YZFLX,DW_XD_CORP_LOAN_STDBOOK,BZNS_AMT,是
YZFLX,DW_XD_CORP_LOAN_STDBOOK,BZNS_DATE,是
YZFLX,DW_XD_CORP_LOAN_STDBOOK,REVER_TYPE,是
YZFLX,DW_XD_CORP_LOAN_STDBOOK,DUE_BILL_ID,是
YZFLX,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
YZFLX,DW_XD_CORP_LOAN_STDBOOK,BZNS_TYPE,是
GRANT_SETTLE_ACTNO,DW_XD_CORP_LOAN_STDBOOK,PJYFKC_CPRXHH,是
GRANT_SETTLE_ACTNO,LC00059999.CORP_LOAN_DUE_BILL,RECV_ACTNO,是
GRANT_SETTLE_ACTNO,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_SUBTYPE,是
GRANT_SETTLE_ACTNO,DW_XD_CORP_LOAN_STDBOOK,CUST_SETTLE_ACTNO,是
GRANT_SETTLE_ACTNO,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
GRANT_SETTLE_ACTNO,DW_XD_CORP_LOAN_STDBOOK,BZNS_AMT,是
JJQCYE,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
JJQCYE,LC00059999.CORP_LOAN_DUE_BILL,LOAN_AMT,是
JJQCYE,LC00059999.CORP_LOAN_DUE_BILL,DUE_BILL_ID,是
BZNS_TYPE,DW_XD_CORP_LOAN_STDBOOK,BZNS_TYPE,是
YQJE,DW_XD_CORP_LOAN_STDBOOK,BZNS_TYPE,是
