输出字段名,来源表名,来源字段名,是否可追踪
RN1,DW_CUST_CORP_LE_F,RN1,是
CUST_CODE,DW_CUST_CORP_LE_F,CUST_CODE,是
CUST_NAME,DW_CUST_CORP_LE_F,CUST_NAME,是
CUST_SHORT_NAME,DW_CUST_CORP_LE_F,CUST_SHORT_NAME,是
CUST_TYPE,DW_CUST_CORP_LE_F,CUST_TYPE,是
N_LE,,,是
ZY_FK,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
ZY_FK,CUST_CORP_INFO,贷款产品类型,是
ZY_BS,CUST_CORP_INFO,贷款产品类型,是
ZY_HK,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
ZY_HK,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_KIND,是
ZY_HK,LC00059999.CORP_LOAN_REPAY_APPLY,REPAY_AMT,是
ZY_HK,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_KIND,是
ZY_HBS,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_KIND,是
ZY_HBS,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_KIND,是
ZY_HBS,LC00059999.CORP_LOAN_REPAY_APPLY,REPAY_AMT,是
WT_FK,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
WT_FK,CUST_CORP_INFO,贷款产品类型,是
WT_BS,CUST_CORP_INFO,贷款产品类型,是
WT_HK,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
WT_HBS,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
BL_FK,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
BL_FK,CUST_CORP_INFO,贷款产品类型,是
BL_BS,CUST_CORP_INFO,贷款产品类型,是
BL_HK,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
BL_HK,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_KIND,是
BL_HK,LC00059999.CORP_LOAN_REPAY_APPLY,REPAY_AMT,是
BL_HK,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_KIND,是
BL_HBS,LC00059999.CORP_LOAN_CONT_BASE,CUST_LOAN_KIND,是
BL_HBS,LC00059999.CORP_LOAN_DUE_BILL,CUST_LOAN_KIND,是
BL_HBS,LC00059999.CORP_LOAN_REPAY_APPLY,REPAY_AMT,是
CPJE,DW_PJ_KPXXCX_BACK_F,PJYFKC_PMJE,是
CPBS,CPBS,CPBS,是
DFJE,DW_PJ_KPXXCX_BACK_F,PJYFKC_PMJE,是
DFBS,DFBS,DFBS,是
CZJE,DW_PJ_KPXXCX_BACK_F,PJYFKC_PMJE,是
CZBS,CZBS,CZBS,是
FKAMT,LC00019999.DW_PJ_TX,贴现金额面值,是
FKAMT,LC00019999.DW_PJ_TX,贴现日,是
XZBS,LC00019999.DW_PJ_TX,贴现日,是
HKAMT,LC00019999.DW_PJ_TX,贴现金额面值,是
HKAMT,LC00019999.DW_PJ_TX,票据到期日,是
DQBS,LC00019999.DW_PJ_TX,票据到期日,是
AMT_FK,LC00059999.LN_GUAR_LETT_INFO,AMT,是
CNTA,CNTA,CNTA,是
AMT_HK,LC00059999.LN_GUAR_LETT_INFO,AMT,是
CNTB,CNTB,CNTB,是
ZMJE,LC00059999.LN_OPEN_CERTIFICATE_APP,AMT,是
ZMBS,ZMBS,ZMBS,是
DK_HK,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
DK_HK,LC00059999.CORP_LOAN_STDBOOK,BZNS_TYPE,是
DK_HK,LC00059999.CORP_LOAN_STDBOOK,BZNS_DATE,是
DK_HBS,LC00059999.CORP_LOAN_STDBOOK,BZNS_AMT,是
DK_HBS,LC00059999.CORP_LOAN_STDBOOK,BZNS_TYPE,是
DK_HBS,LC00059999.CORP_LOAN_STDBOOK,BZNS_DATE,是
DK_FK,LC00059999.CORP_LOAN_DUE_BILL,LOAN_AMT,是
DK_FK,LC00059999.CORP_LOAN_STDBOOK,BZNS_TYPE,是
DK_FK,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
DK_FBS,LC00059999.CORP_LOAN_DUE_BILL,LOAN_AMT,是
DK_FBS,LC00059999.CORP_LOAN_STDBOOK,BZNS_TYPE,是
DK_FBS,LC00059999.CORP_LOAN_DUE_BILL,GRANT_DATE,是
