输出字段名,来源表名,来源字段名,是否可追踪
EJDW,DM_CUST_CORP_GXD_XDYW,EJDW,是
EJDW,DM_CUST_CORP_GXD_XDYW,CUST_NAME,是
CUST_NAME1,DM_CUST_CORP_GXD_XDYW,CUST_NAME,是
RN1,DM_CUST_CORP_GXD_XDYW,RN1,是
CUST_CODE,DM_CUST_CORP_GXD_XDYW,CUST_CODE,是
CUST_NAME,DM_CUST_CORP_GXD_XDYW,CUST_NAME,是
CUST_SHORT_NAME,DM_CUST_CORP_GXD_XDYW,CUST_SHORT_NAME,是
CUST_TYPE,DM_CUST_CORP_GXD_XDYW,CUST_TYPE,是
LE,DM_CUST_CORP_GXD_XDYW,LE,是
N_LE,DM_CUST_CORP_GXD_XDYW,N_LE,是
MX,DM_CUST_CORP_GXD_XDYW,MX,是
INTER_FACETIME,DM_CUST_CORP_GXD_XDYW,INTER_FACETIME,是
LX,DM_CUST_CORP_GXD_XDYW,LX,是
YE_ZYDK,DM_CUST_CORP_GXD_XDYW,YE_ZYDK,是
RJ_ZYDK,DM_CUST_CORP_GXD_XDYW,RJ_ZYDK,是
YE_PJDK,DM_CUST_CORP_GXD_XDYW,YE_PJDK,是
RJ_PJDK,DM_CUST_CORP_GXD_XDYW,RJ_PJDK,是
YE_PJTX,DM_CUST_CORP_GXD_XDYW,YE_PJTX,是
RJ_PJTX,DM_CUST_CORP_GXD_XDYW,RJ_PJTX,是
YE_BL,DM_CUST_CORP_GXD_XDYW,YE_BL,是
RJ_BL,DM_CUST_CORP_GXD_XDYW,RJ_BL,是
YE_RZZL,DM_CUST_CORP_GXD_XDYW,YE_RZZL,是
RJ_RZZL,DM_CUST_CORP_GXD_XDYW,RJ_RZZL,是
YE_WTDK,DM_CUST_CORP_GXD_XDYW,YE_WTDK,是
RJ_WTDK,DM_CUST_CORP_GXD_XDYW,RJ_WTDK,是
YE_PJCD,DM_CUST_CORP_GXD_XDYW,YE_PJCD,是
RJ_PJCD,DM_CUST_CORP_GXD_XDYW,RJ_PJCD,是
YE_BH,DM_CUST_CORP_GXD_XDYW,YE_BH,是
RJ_BH,DM_CUST_CORP_GXD_XDYW,RJ_BH,是
