输出字段名,来源表名,来源字段名,是否可追踪
RN1,LC00019999.CUST_CORP_SXQK_NEW,RN1,是
CUST_CODE2,LC00019999.CUST_CORP_SXQK_NEW,CUST_CODE,是
CUST_CODE,LC00019999.DW_CUST_CORP_LE_F_BK,CUST_NAME,是
CUST_NAME,LC00019999.CUST_CORP_SXQK_NEW,CUST_NAME,是
CUST_NAME,LC00019999.CUST_CORP_SXQK_NEW,RN1,是
BSNS_DATE_ZY,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_ZY,是
MZY,LC00019999.CUST_CORP_SXQK_NEW,MZY,是
BSNS_DATE_CD,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_CD,是
MPJCD,LC00019999.CUST_CORP_SXQK_NEW,MPJCD,是
BSNS_DATE_TX,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_TX,是
MSPTX,LC00019999.CUST_CORP_SXQK_NEW,MSPTX,是
BSNS_DATE_BH,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_BH,是
MBH,LC00019999.CUST_CORP_SXQK_NEW,MBH,是
BSNS_DATE_XYZ,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_XYZ,是
MXYZ,LC00019999.CUST_CORP_SXQK_NEW,MXYZ,是
BSNS_DATE_BL,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_BL,是
MBL,LC00019999.CUST_CORP_SXQK_NEW,MBL,是
BSNS_DATE_RZZL,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_RZZL,是
MRZZL,LC00019999.CUST_CORP_SXQK_NEW,MRZZL,是
BSNS_DATE_QT,LC00019999.CUST_CORP_SXQK_NEW,BSNS_DATE_QT,是
MQT,LC00019999.CUST_CORP_SXQK_NEW,MQT,是
ZY,LC00019999.CUST_CORP_SXQK_NEW,ZY,是
PJCD,LC00019999.CUST_CORP_SXQK_NEW,PJCD,是
SPTX,LC00019999.CUST_CORP_SXQK_NEW,SPTX,是
BH,LC00019999.CUST_CORP_SXQK_NEW,BH,是
XYZ,LC00019999.CUST_CORP_SXQK_NEW,XYZ,是
BL,LC00019999.CUST_CORP_SXQK_NEW,BL,是
RZZL,LC00019999.CUST_CORP_SXQK_NEW,RZZL,是
QT,LC00019999.CUST_CORP_SXQK_NEW,QT,是
INTERFACE_TIME,LC00019999.CUST_CORP_SXQK_NEW,INTERFACE_TIME,是
CUST_TYPE,LC00019999.CUST_CORP_SXQK_NEW,CUST_TYPE,是
CUST_SHORT_NAME,LC00019999.DW_CUST_CORP_LE_F_BK,CUST_SHORT_NAME,是
N_LE,LC00019999.DW_CUST_CORP_LE_F_BK,N_LE,是
N_LE,LC00019999.CUST_CORP_SXQK_NEW,N_LE,是
LX,LC00019999.CUST_CORP_SXQK_NEW,LX,是
MX,LC00019999.DW_CUST_CORP_LE_F_BK,MX,是
SFZR,LC00019999.CUST_CORP_SXQK_NEW,SFZR,是
SFZ,LC00019999.CUST_CORP_SXQK_NEW,SFZ,是
SHJ,LC00019999.CUST_CORP_SXQK_NEW,SHJ,是
SH_AMOUNT,LC00019999.CUST_CORP_SXQK_NEW,SH_AMOUNT,是
