输出字段名,来源表名,来源字段名,是否可追踪
CUST_NAME1,DM_CUST_CORP_GXD_F,CUST_NAME,是
RN1,DM_CUST_CORP_GXD_F,RN1,是
CUST_CODE,DM_CUST_CORP_GXD_F,CUST_CODE,是
CUST_NAME,DM_CUST_CORP_GXD_F,CUST_NAME,是
CUST_SHORT_NAME,DM_CUST_CORP_GXD_F,CUST_SHORT_NAME,是
GQLX,DM_CUST_CORP_GXD_F,GQLX,是
CUST_SCOPE,DM_CUST_CORP_GXD_F,CUST_SCOPE,是
CUST_TYPE,DM_CUST_CORP_GXD_F,CUST_TYPE,是
JMFL,DM_CUST_CORP_GXD_F,JMFL,是
LE,DM_CUST_CORP_GXD_F,LE,是
N_LE,DM_CUST_CORP_GXD_F,N_LE,是
MX,DM_CUST_CORP_GXD_F,MX,是
INTER_FACETIME,DM_CUST_CORP_GXD_F,INTER_FACETIME,是
YE_ZYDK,DM_CUST_CORP_GXD_F,YE_ZYDK,是
YE_MFXD,DM_CUST_CORP_GXD_F,YE_MFXD,是
YE_PJTX,DM_CUST_CORP_GXD_F,YE_PJTX,是
YE_BL,DM_CUST_CORP_GXD_F,YE_BL,是
YE_RZZL,DM_CUST_CORP_GXD_F,YE_RZZL,是
RJ_ZYDK,DM_CUST_CORP_GXD_F,RJ_ZYDK,是
RJ_MFXD,DM_CUST_CORP_GXD_F,RJ_MFXD,是
RJ_PJTX,DM_CUST_CORP_GXD_F,RJ_PJTX,是
RJ_BL,DM_CUST_CORP_GXD_F,RJ_BL,是
RJ_RZZL,DM_CUST_CORP_GXD_F,RJ_RZZL,是
LYE_ZYDK,DM_CUST_CORP_GXD_F,LYE_ZYDK,是
LYE_MFXD,DM_CUST_CORP_GXD_F,LYE_MFXD,是
LYE_PJTX,DM_CUST_CORP_GXD_F,LYE_PJTX,是
LYE_BL,DM_CUST_CORP_GXD_F,LYE_BL,是
LYE_RZZL,DM_CUST_CORP_GXD_F,LYE_RZZL,是
LRJ_ZYDK,DM_CUST_CORP_GXD_F,LRJ_ZYDK,是
LRJ_MFXD,DM_CUST_CORP_GXD_F,LRJ_MFXD,是
LRJ_PJTX,DM_CUST_CORP_GXD_F,LRJ_PJTX,是
LRJ_BL,DM_CUST_CORP_GXD_F,LRJ_BL,是
LRJ_RZZL,DM_CUST_CORP_GXD_F,LRJ_RZZL,是
CKYE,DM_CUST_CORP_GXD_F,CKYE,是
CKRJ,DM_CUST_CORP_GXD_F,CKRJ,是
LTQYE,DM_CUST_CORP_GXD_F,LTQYE,是
LTQRJ,DM_CUST_CORP_GXD_F,LTQRJ,是
