序号,任务名称,SQL文件,状态,字段总数,已追踪字段,追踪率,表关联数,主表数,关联表数,错误信息
1,01_内部对账余额表-存款类,tasks/01_内部对账余额表-存款类/原始.sql,成功,2,2,100.0%,3,1,2,
2,02_内部对账余额表-贷款类,tasks/02_内部对账余额表-贷款类/原始.sql,成功,24,24,100.0%,1,1,0,
3,03_内部对账余额表-票据类,tasks/03_内部对账余额表-票据类/原始.sql,成功,507,507,100.0%,4,1,3,
4,04_存款计提测算-支取记录,tasks/04_存款计提测算-支取记录/原始.sql,成功,13,13,100.0%,3,1,2,
5,05_存款计提测算-期末余额,tasks/05_存款计提测算-期末余额/原始.sql,成功,5,5,100.0%,2,1,1,
6,06_存款计提测算-存入记录,tasks/06_存款计提测算-存入记录/原始.sql,成功,130,130,100.0%,2,1,1,
7,07_存款计提测算-交易流水,tasks/07_存款计提测算-交易流水/原始.sql,成功,13,13,100.0%,4,1,3,
8,08_活期协定计提测算,tasks/08_活期协定计提测算/原始.sql,成功,12,12,100.0%,5,1,4,
9,09_活期协定存款业务台账,tasks/09_活期协定存款业务台账/原始.sql,成功,16,16,100.0%,3,1,2,
10,10_通知存款业务台账,tasks/10_通知存款业务台账/原始.sql,成功,1,1,100.0%,3,1,2,
11,11_定期存款业务台账,tasks/11_定期存款业务台账/原始.sql,成功,1,1,100.0%,3,1,2,
12,12_贴现业务台账,tasks/12_贴现业务台账/原始.sql,成功,771,770,99.9%,1,1,0,
13,13_信贷不含贴现业务台账,tasks/13_信贷不含贴现业务台账/原始.sql,成功,23,23,100.0%,8,1,7,
14,14_贷款-借据维度余额及发生额明细,tasks/14_贷款-借据维度余额及发生额明细/原始.sql,成功,24,24,100.0%,1,1,0,
15,15_贷款-放还款明细,tasks/15_贷款-放还款明细/原始.sql,成功,14,14,100.0%,2,1,1,
16,16_逾期展期,tasks/16_逾期展期/原始.sql,成功,7,7,100.0%,1,1,0,
17,17_承兑手续费,tasks/17_承兑手续费/原始.sql,成功,10,10,100.0%,4,1,3,
18,18_委贷手续费,tasks/18_委贷手续费/原始.sql,成功,10,10,100.0%,2,1,1,
19,19_委托贷款发生明细台账,tasks/19_委托贷款发生明细台账/原始.sql,成功,31,31,100.0%,4,1,3,
20,20_委托贷款合同情况表,tasks/20_委托贷款合同情况表/原始.sql,成功,1,1,100.0%,3,1,2,
21,21_委托贷款资金来源余额表,tasks/21_委托贷款资金来源余额表/原始.sql,成功,10,10,100.0%,2,1,1,
22,22_贷款合同情况表,tasks/22_贷款合同情况表/原始.sql,成功,1,1,100.0%,1,1,0,
23,23_贷款发生明细台账,tasks/23_贷款发生明细台账/原始.sql,成功,28,28,100.0%,5,1,4,
24,24_信贷业务办理情况表,tasks/24_信贷业务办理情况表/原始.sql,成功,38,38,100.0%,1,1,0,
25,25_信贷业务客户贡献度表,tasks/25_信贷业务客户贡献度表/原始.sql,成功,28,28,100.0%,1,1,0,
26,26_授信使用情况表,tasks/26_授信使用情况表/原始.sql,成功,38,38,100.0%,1,1,0,
27,27_客户贡献度,tasks/27_客户贡献度/原始.sql,成功,37,37,100.0%,1,1,0,
